"session_id","time_start","time_end","penguins","silly_word","time_q_penguins","time_q_silly_word","time_p_welcome","time_p_page2","time_p_end","current_page","bestlec","yesno","time","message","time_q_bestlec","time_q_yesno","time_q_time","time_q_message","time_p_page1"
"dfde72990c96cc736f1e161706882e31","2025-08-02 04:50:04 UTC","2025-08-02 04:50:25 UTC","adelie","test","2025-08-02 04:50:08 UTC","2025-08-02 04:50:14 UTC","2025-08-02 04:50:04 UTC","2025-08-02 04:50:09 UTC","2025-08-02 04:50:15 UTC","end",,,,,,,,,
"75f0531dd41c214da58a94edc039128f","2025-08-02 05:52:13 UTC","2025-08-02 05:52:25 UTC","adelie","1111","2025-08-02 05:52:15 UTC","2025-08-02 05:52:19 UTC","2025-08-02 05:52:13 UTC","2025-08-02 05:52:16 UTC","2025-08-02 05:52:19 UTC","end",,,,,,,,,
"7ebde0e63bdb0a0303ebb642ccf4b797","2025-08-02 05:52:51 UTC","2025-08-02 05:53:06 UTC","adelie","12312","2025-08-02 05:52:54 UTC","2025-08-02 05:52:57 UTC","2025-08-02 05:52:51 UTC","2025-08-02 05:52:55 UTC","2025-08-02 05:52:58 UTC","end",,,,,,,,,
"773c93b451f3b550e5245889bdfa8fa3","2025-08-02 11:05:28 UTC","2025-08-02 11:05:30 UTC","","","","","2025-08-02 11:05:28 UTC","","","",,,,,,,,,
"04d75e5f14bdebe38bf972b426b07b61","2025-08-02 11:06:02 UTC","2025-08-02 11:06:18 UTC","chinstrap","123","2025-08-02 11:06:07 UTC","2025-08-02 11:06:11 UTC","2025-08-02 11:06:02 UTC","2025-08-02 11:06:09 UTC","2025-08-02 11:06:11 UTC","end",,,,,,,,,
"17df31a00a3f400c9777e96cfbedf7b3","2025-08-02 12:04:49 UTC","2025-08-02 12:05:08 UTC","adelie","hi","2025-08-02 12:04:52 UTC","2025-08-02 12:05:02 UTC","2025-08-02 12:04:49 UTC","2025-08-02 12:04:55 UTC","2025-08-02 12:05:03 UTC","end",,,,,,,,,
"03380b339d273225d8c0cdf9b8a10810","2025-08-02 13:31:23 UTC","2025-08-02 13:31:28 UTC","","","","","2025-08-02 13:31:23 UTC","","","",,,,,,,,,
"125fedd81eda6f2bd2eb03c600f5b965","2025-08-02 13:31:50 UTC","2025-08-02 13:31:57 UTC","","","","","2025-08-02 13:31:50 UTC","","","",,,,,,,,,
"ec27fff0c5ceb61ddd1a1df03eddec8e","2025-08-02 13:32:01 UTC","2025-08-02 13:32:05 UTC","","","","","2025-08-02 13:32:01 UTC","","","",,,,,,,,,
"87b005c73abf4a6337918531af43e2da","2025-08-02 13:33:58 UTC","2025-08-02 13:34:38 UTC","","","","","2025-08-02 13:33:58 UTC","","","",,,,,,,,,
"75d4085e07569140939d0ff8ff0d7ccb","2025-08-02 13:35:38 UTC","","","","","","2025-08-02 13:35:38 UTC","","","",,,,,,,,,
"4a7901c8ee9c91c86bd81e3d9afb2d75","2025-08-02 13:55:40 UTC","2025-08-02 13:55:53 UTC","","","","","2025-08-02 13:55:40 UTC","","","",,,,,,,,,
"96bb5cf255692bc4a55b73f90c77805d","2025-08-03 10:18:45 UTC","2025-08-03 10:19:02 UTC","","","","","2025-08-03 10:18:45 UTC","","","",,,,,,,,,
"efc9f67109eb3ab490dc26116afb26f4","2025-08-03 10:19:02 UTC","","","","","","2025-08-03 10:19:02 UTC","","","",,,,,,,,,
"d3ea3429ea11c103abf8ca5189361e6b","2025-08-03 10:44:08 UTC","2025-08-03 10:44:55 UTC","","","","","2025-08-03 10:44:08 UTC","","","",,,,,,,,,
